brew_id,brew_date,bean_name,bean_origin_country,bean_origin_region,bean_variety,bean_process_method,bean_roast_date,bean_roast_level,bean_notes,grind_size,grind_model,brew_method,brew_device,kettle_type,scale_model,water_source,coffee_dose_grams,water_volume_ml,water_temp_degC,brew_bloom_time_s,brew_bloom_water_ml,brew_pulse_target_water_ml,brew_total_time_s,agitation_method,pour_technique,final_tds_percent,final_brew_mass_grams,score_overall_rating,score_notes,beans_days_since_roast,brew_ratio_to_1,final_extraction_yield_percent,score_strength_category,score_extraction_category,score_brewing_zone,score_flavor_profile_category,score_brew,bean_usage_count,score_avg_rating_this_bean,score_improvement_vs_last,coffee_grams_per_liter,raw_data_hash,calculation_version,last_processed_timestamp,mug_weight_grams,final_combined_weight_grams,archive_status,estimated_bag_size_grams,bean_purchase_date,water_temperature_c,notes,score_overall_rating_original,scoring_system_version,migration_timestamp,score_complexity,score_bitterness,score_mouthfeel
11,2025-08-08,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,14.3,200.0,97.0,45.0,35.0,55.0,180.0,Stir,Spiral,1.38,172.5,4.5,"lemon, sweet, bright",,14.0,16.65,Strong,Under,Under-Strong,Sweet,4.3,14.0,3.5,1.0,71.5,8356157150b02d81cc8d6e26180bf9fa,1.2.0,2025-09-19T07:59:09.583841Z,303.9,476.4,archived,,,,,9.1,3-factor-v1,2025-08-30T09:32:50.097468Z,,,
12,2025-08-08,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,2 pulse V60,V60 ceramic,,,,14.4,200.0,96.0,40.0,40.0,80.0,135.0,Stir,Spiral,1.51,174.20000000000005,4.0,"tea, acid, bitter",,13.9,18.27,Strong,Ideal,Ideal-Strong,Bright/Acidic,5.2,14.0,3.5,-0.5,72.0,2da0907009818c339095c4fe3a77628c,1.2.0,2025-09-19T07:59:09.583841Z,303.9,478.1,archived,,,,,7.8,3-factor-v1,2025-08-30T09:32:50.097468Z,,,
13,2025-08-21,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,18.0,250.0,100.0,45.0,75.0,60.0,155.0,Stir,Spiral,1.29,220.49999999999991,4.0,"refreshing, bright, acidic",,13.9,15.8,Ideal,Under,Under-Ideal,Bright/Acidic,5.2,14.0,3.5,0.0,72.0,a91f47558aa8d852167ac746ff583628,1.2.0,2025-09-19T07:59:09.583841Z,308.8,529.3,archived,,,,,7.5,3-factor-v1,2025-08-30T09:32:50.097468Z,,,
14,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,19.0,250.0,97.0,45.0,80.0,55.0,175.0,Stir,Spiral,1.33,209.7,4.0,"chocolate, soft, full, mellow",,13.2,14.68,Ideal,Under,Under-Ideal,Chocolatey,5.2,14.0,3.5,0.0,76.0,81d113dafa474b2a581800557ce4a711,1.2.0,2025-09-19T07:59:09.583841Z,308.8,518.5,archived,,,,,7.7,3-factor-v1,2025-08-30T09:32:50.097468Z,,,
15,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,19.0,250.0,97.0,45.0,80.0,55.0,175.0,Stir,Spiral,1.33,209.7,4.0,"chocolate, soft, full, mellow",,13.2,14.68,Ideal,Under,Under-Ideal,Chocolatey,5.2,14.0,3.5,0.0,76.0,81d113dafa474b2a581800557ce4a711,1.2.0,2025-09-19T07:59:09.583841Z,308.8,518.5,archived,,,,,7.7,3-factor-v1,2025-08-30T09:32:50.097468Z,,,
16,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,,,,,,,,,,,,2.5,,,,,,,,,,14.0,3.5,-1.5,,4c7b0a512e34bf04594dd9afbe1155f6,1.2.0,2025-09-19T07:59:09.583841Z,,,archived,,,,,5.0,3-factor-v1,2025-08-30T09:32:50.097468Z,,,
17,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,21.1,250.0,94.0,45.0,60.0,95.0,165.0,Stir,Spiral,1.41,209.8,4.0,"nutty, chocolate, fresh",,11.8,14.02,Strong,Under,Under-Strong,Fruity,4.0,14.0,3.5,1.5,84.4,a5369ae70c6f47a32a512e2f9aee9052,1.2.0,2025-09-19T07:59:09.583841Z,308.8,518.6,archived,,,,,8.3,3-factor-v1,2025-08-30T09:32:50.097468Z,,,
18,2025-08-29,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,20.0,250.0,100.0,45.0,60.0,63.33,195.0,Stir,Spiral,1.44,211.40000000000003,4.0,"sweet citrus, fruity, tart, light",,12.5,15.22,Strong,Under,Under-Strong,Balanced,4.0,9.0,4.0,,80.0,c4dcc3ec57d01023ac7c020c74460ae8,1.2.0,2025-09-19T07:59:09.583841Z,308.8,520.2,active,250.0,,,,8.1,3-factor-v1,2025-08-30T09:32:50.097468Z,,,
19,2025-09-03,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,2 pulse V60,V60 ceramic,,,,17.0,250.0,99.0,45.0,58.0,95.0,155.0,Stir,Spiral,1.1,218.90000000000003,4.0,"Great texture, balance and chocolatey mouth taste. Some acidity and bright mouthfeel, too.",,14.7,14.16,Weak,Under,Under-Weak,Balanced,4.0,9.0,4.0,0.0,68.0,9304f5db5926c12ebe0670ea7801e974,1.2.0,2025-09-19T07:59:09.583841Z,308.7,527.6,active,250.0,,,,,3-factor-v1,,4.0,4.0,4.0
20,2025-09-04,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,2 pulse V60,V60 ceramic,,,,18.2,250.0,99.0,45.0,60.0,95.0,165.0,Stir,Spiral,1.39,220.7,4.167,"Fruity, nutty, and well balanced.",,13.7,16.86,Strong,Under,Under-Strong,Balanced,4.1,9.0,4.0,0.2,72.8,6cf70eaf10f540c1b2b7ab75e369d98b,1.2.0,2025-09-19T07:59:09.583841Z,308.8,529.5,active,250.0,,,,,3-factor-v1,,4.5,4.0,4.0
21,2025-09-04,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,17.3,250.0,99.0,45.0,60.0,63.0,143.0,Stir,Spiral,1.28,217.99999999999991,4.667,"lemony, juicy, bright, awesome",,14.5,16.13,Ideal,Under,Under-Ideal,Rich/Full,5.6,9.0,4.0,0.5,69.2,29fbb54f4610f2ff596efee6ca29d215,1.2.0,2025-09-19T07:59:09.583841Z,308.8,526.8,active,250.0,,,,,3-factor-v1,,5.0,4.5,4.5
22,2025-09-05,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,17.7,250.0,99.0,45.0,64.0,63.0,170.0,,Spiral,1.56,217.2,3.167,"Tastes a bit too rich, lost some complexity and worse mouthfeel",,14.1,19.14,Strong,Ideal,Ideal-Strong,Sweet,4.7,9.0,4.0,-1.5,70.8,b15d5d2c1d2d7b2f4297063fbbb149fd,1.2.0,2025-09-19T07:59:09.583841Z,308.8,526.0,active,250.0,,,,,3-factor-v1,,3.0,4.0,2.5
23,2025-09-06,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",5.1,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,13.4,200.0,99.0,51.0,35.0,55.0,165.0,,Spiral,1.38,175.5,3.833,"singular note, but great rounded feel. Chocolatey flavour",,14.9,18.07,Strong,Ideal,Ideal-Strong,,5.1,9.0,4.0,0.7,67.0,12882de23b378207a102ec989e6b81df,1.2.0,2025-09-19T07:59:09.583841Z,303.7,479.2,active,250.0,,,,,3-factor-v1,,3.0,4.0,4.5
24,2025-09-07,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,2 pulse V60,V60 ceramic,,,,14.5,200.0,97.0,45.0,40.0,80.0,150.0,,Spiral,1.42,179.0,4.0,"rich, one note, smooth and velvety with no acid or unpleasant bitterness. The flavour has a tinge of citrus to it ",,13.8,17.53,Strong,Under,Under-Strong,Rich/Full,4.0,9.0,4.0,0.2,72.5,270ec9a87d5b01eac60b6bb9ca414f7b,1.2.0,2025-09-19T07:59:09.583841Z,303.8,482.8,active,250.0,,,,,3-factor-v1,,3.5,4.5,4.0
25,2025-09-08,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,13.0,200.0,97.0,45.0,40.0,53.0,175.0,,Spiral,1.42,177.0,3.833,"Sweet, smooth, rounded body",,15.4,19.33,Strong,Ideal,Ideal-Strong,Sweet,5.1,9.0,4.0,-0.2,65.0,bedda5552a270bef39e3f0daef1e3584,1.2.0,2025-09-19T07:59:09.583841Z,303.8,480.8,active,250.0,,,,,3-factor-v1,,3.0,4.0,4.5
26,2025-09-09,,,,,,,,,6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,12.1,200.0,97.0,45.0,40.0,53.0,210.0,,Spiral,1.17,174.5,4.667,Sweet and very nutty. Light texture and nice richness from the bitterness.,,16.5,16.87,Ideal,Under,Under-Ideal,Nutty,5.6,0.0,,,60.5,e88e31c8fd3ef347153ce88a687ed57d,1.2.0,2025-09-19T07:59:09.583841Z,299.2,473.7,active,,,,,,3-factor-v1,,5.0,4.5,4.5
27,2025-09-18,,,,,,,,,6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,15.1,250.0,97.0,45.0,45.0,70.0,215.0,,Spiral,1.33,218.29999999999995,4.0,"cannot remember, drank before scoring!",,16.6,19.23,Ideal,Ideal,Ideal-Ideal,Balanced,6.4,0.0,,,60.4,1a8eeae9eb5f7c8bb5e3e3024c654c1f,1.2.0,2025-09-19T07:59:09.583841Z,305.0,523.3,active,,,,,,3-factor-v1,,4.0,4.0,4.0
28,2025-09-19,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,14.9,250.0,97.0,,45.0,70.0,195.0,,Spiral,1.22,218.4,4.333,"chocolatey, full bodied, silky, ",,16.8,17.88,Ideal,Under,Under-Ideal,Rich/Full,5.4,9.0,4.0,0.5,59.6,4ad24a54297a41da6e5a222249f5c958,1.2.0,2025-09-19T07:59:09.583841Z,309.1,527.5,active,250.0,,,,,3-factor-v1,,3.5,4.5,5.0
